measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,2,Percent,2004,0.0002814325548681,0.0003231368080982,0.0002415239849686
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2004,162.45634012584,184.23285807087998,140.76935982306
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2005,30963.95255913451,35246.42033158131,26910.799636437976
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,2,Percent,2005,0.0002828214195905,0.0003261352342487,0.0002420888561468
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2005,161.62043845029,183.97334438859,140.46447164595
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2006,31573.885529609823,35903.1887999582,27416.90586080542
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,2,Percent,2006,0.0002838735556984,0.0003285584211801,0.0002430870767575
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2006,161.01163008974,183.08899450084,139.81303316392
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2007,31491.20054838103,35733.371775064894,27235.97711090132
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,2,Percent,2007,0.0002764949756686,0.0003207732814196,0.0002377344283336
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2007,156.88384378458,178.01762453747,135.68503912141
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2008,31157.627999728997,35336.6213598174,26836.39981310364
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,2,Percent,2008,0.0002663338072154,0.0003089487848259,0.0002278356254404
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2008,151.6305129886,171.96784120151,130.6009902443
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2009,28023.227216506824,31965.07625181462,24033.639147114263
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,2,Percent,2009,0.0002334910946115,0.000272712207402,0.0001990909310047
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2009,133.2219476042,151.96143116148,114.25551348737001
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2010,26628.1677854742,30503.9560276762,22853.874147366907
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,2,Percent,2010,0.0002169197071897,0.0002533628510504,0.0001845055368557
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2010,123.68377685156001,141.68622192905002,106.15275872560998
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2011,25494.279607109373,29036.80634720932,21987.015429549545
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,2,Percent,2011,0.0002035433090909,0.0002363145247466,0.0001730094613193
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2011,115.72440453428,131.80474898263,99.80412497559
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2012,25820.215435104183,29431.2787385344,22351.229307509813
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,2,Percent,2012,0.0002064552520425,0.0002382840465873,0.00017663365614
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2012,114.53195355534,130.54971822478,99.1444073496
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2013,26984.55689756439,30630.48089320381,23402.056838060165
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,2,Percent,2013,0.0002158673053809,0.0002477908803569,0.0001854738035334
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2013,116.94165884994999,132.74182194728002,101.41635297300002
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2014,26977.494542583045,30702.93264449644,23489.516786745247
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,2,Percent,2014,0.000213604927577,0.0002441508694925,0.0001850994187096
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2014,114.20270185971,129.97344351172,99.43719118137
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2015,26673.128017378807,30401.36546732524,23231.85843748645
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,2,Percent,2015,0.0002087221314482,0.0002384687307746,0.0001808846405609
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2015,110.27520976438,125.68893126628,96.04790487044
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2016,25294.76703579794,28686.754448660955,22128.006778870487
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,2,Percent,2016,0.0001942339298539,0.0002228516813778,0.0001685028894585
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2016,102.11207729975,115.80514197244999,89.32822885838999
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2017,23736.961851525088,26729.24292781121,20821.910931813363
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,2,Percent,2017,0.0001782798191829,0.0002042467882777,0.0001548481470457
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2017,93.55542003067,105.34901496050001,82.06621535021
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2018,21969.577068915893,24566.5178017937,19271.5795022925
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,2,Percent,2018,0.0001610151475871,0.0001844974135139,0.0001398139025621
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2018,84.54231687843999,94.53574486590999,74.16000662735
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2019,20818.19151792719,23317.88975684585,18288.74602130865
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,2,Percent,2019,0.0001489897973697,0.0001701535512034,0.000128882155489
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2019,78.22774389571,87.62076698719,68.72294064048
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2020,20330.940676576087,23015.110438964184,17819.89624545676
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,2,Percent,2020,0.0001335830692943,0.0001539267145597,0.0001158869840399
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,3,Rate,2020,74.6413885845,84.49583464523,65.42254101037
6,Incidence,205,Côte d'Ivoire,3,Both,22,All ages,332,Meningitis,1,Number,2021,20148.182897801973,22611.984297948507,17713.538854935858
