Date,Colombo,Gampaha,Kalutara,Kandy,Matale,NuwaraEliya,Galle,Hambantota,Matara,Jaffna,Kilinochchi,Mannar,Vavuniya,Mullaitivu,Batticaloa,Ampara-Kalmunai,Trincomalee,Kurunegala,Puttalam,Anuradhapura,Polonnaruwa,Badulla,Monaragala,Ratnapura,Kegalle,SRILANKA
2007-01-01,9.845996405862538,3.0004066025787948,5.384193672314205,8.41088672773501,5.070781530147179,1.6167119865537263,2.386880320590459,1.0874885762232522,3.7066663933475934,0.0,0.0,2.5073645629960657,3.0662103947386123,0.0,0.19211388259007303,0.0,2.273842019944178,3.278790489059964,5.700562276887899,0.5023858237656111,2.291806283389462,0.7058192543040588,1.1810810738368493,1.3767612194199286,4.217509561516577,3.8254825623141735
2007-02-01,5.121039034460473,1.733933279427137,2.06265945557835,1.955466244381095,1.4775598514437607,0.0,0.8585334464008648,1.0866723834697258,1.110963764959031,0.0,0.0,0.6265406737880033,2.450209339539863,0.0,0.3839315263797941,0.16340525843479192,0.5675695355251051,1.441680216387824,1.4568626545159904,0.37658583933557166,1.0172936858844868,0.35254609247111784,0.0,0.8253033282956279,0.9919253715826475,1.5729453960860451
2007-03-01,1.7865520252247005,1.0305874112991882,1.70308044459268,1.157778099932677,0.6326269822108295,0.13455090877007236,0.3813076123431093,0.9048655236717562,0.9867856184130183,0.0,0.0,0.0,0.0,0.0,0.5754536206760248,0.0,1.4173081987019625,1.5064394816113664,0.3970530838536421,0.501707930570058,0.5083068665241621,0.35222677393695995,0.23566682120228713,1.1911213273873558,1.7352668442876353,0.9660900535749327
2007-04-01,1.2978172541345283,0.7023439233928264,0.8958485793253493,1.0121182393311678,0.2106717319979278,0.0,0.0,0.9043646974356169,0.739385655621133,0.0,0.0,0.0,0.0,0.0,2.1083090246629173,0.0,1.1313777958370026,1.0474002036926555,0.3966514873490954,0.5011939593553267,2.5380799694923057,0.11732198152339067,0.0,0.5492196939351441,0.37168261715855466,0.7051798076148795
2007-05-01,2.4303923030185794,0.9828250841397536,1.3429506425523017,0.7220251682758415,0.42073317929440973,1.0748307002917634,0.38057903438976093,0.361452032533625,1.2315122672092134,0.0,0.0,0.0,0.0,0.0,4.9784140672888,0.0,0.2826036599490387,1.1120980608457316,0.6605067602341381,1.6271931726069464,0.0,0.46847851509006533,0.9406323994632599,1.2803791163238327,2.8481309229962513,1.1941842987799745
2007-06-01,4.53118913201701,1.5906507646058725,2.1472747969351804,1.4427293375643637,0.840806750079266,0.0,0.3803195134003302,0.5417255326106103,1.353529693007174,0.0,0.0,0.0,0.6098373766995467,0.0,1.7219388492816747,0.4881562355178328,1.4096052421105028,3.530282534572443,0.7920211385108923,3.751806945861693,1.5197495286574267,0.1170043061420867,0.23477792317758447,1.735769880211575,3.3422338274667034,1.8671119582413696
2007-07-01,6.46582084412947,1.7769511997218153,3.4872743542624676,2.449922410140519,1.4695255826593907,0.6708899931280503,0.5700905418968913,1.0826721211983072,1.967190152574303,0.0,0.0,0.0,0.6096951524237881,0.0,0.7642853296363029,0.0,1.9704513153160317,7.448466360365696,1.054732297396099,5.747776754810364,0.5059091851544681,1.051974300852817,1.641865748632482,5.111114011572515,2.350932904947668,2.912927551256481
2007-08-01,5.045403184003787,2.6642703082821773,3.0383495510963265,1.1518163112254767,1.4681612819947953,0.402162447257384,0.6646052720024328,2.163384364857727,1.2284105715839713,0.0,0.0,0.0,0.6085597419440657,0.0,0.763824767734968,0.0,0.28100886790279855,2.481350030779651,1.1855839293347938,0.24954743958190576,1.5165048437152142,0.9340801430417762,2.3427929563372407,3.1009403700594445,1.9788764598399586,1.9934173967070454
2007-09-01,6.492064117592518,3.45754325600455,3.929917164922468,1.366438368535371,0.41916476873509056,0.13403353035529872,0.6641400718844375,1.8016865416302463,2.823187182972543,1.524174437910418,0.0,0.0,2.433389325364158,0.0,0.381536170398604,0.0,0.0,4.960243354049463,1.579708438016186,2.618935757063717,1.0100470709176292,1.3997447959489464,1.1704210353674172,4.191351037218553,5.686857219351232,2.8732902866558856
2007-10-01,8.175023192314608,4.903613837014204,3.123738192181627,2.514321758678484,1.674645543007753,0.26777875961363806,0.7582948566070185,2.8801988062489543,4.047358133044194,11.806412367419714,0.0,0.0,4.25355318193794,0.0,0.3811190632455126,0.0,0.0,6.978712777670593,3.551343773276346,2.8654610380641,0.7568499345891049,1.165338783269409,1.4026842559829227,3.641478924701631,7.168261363980179,3.930372739917351
2007-11-01,7.683178523709539,6.628694860702371,4.3710212412068055,1.7940953914672404,1.6725360798417421,0.0,0.7576595830294928,1.6191497618800588,4.901665550440029,5.708692567296085,0.0,0.0,3.6406238347412447,0.0,0.0,0.3234894497740789,1.1181461991430601,4.106506208578446,10.774097830731227,2.36505984506309,1.5116333210840898,0.8147896838629104,1.167473206638463,2.4552597645031558,4.817846761631005,3.7876850251444187
2007-12-01,9.443889760487792,5.87953271782941,4.190122477187767,1.792472639048258,3.3425160852418907,0.5349821370207385,0.6625256896834972,2.157062393705832,2.9390935608164894,3.2328835662397246,0.0,0.0,3.6387941406254845,0.0,0.38041190955258897,0.3230846640713964,0.8374606479559419,5.472262503215928,17.198734649176956,6.714866509381363,1.2585624554277222,1.744131183517677,1.8655950504269518,2.2717590768687588,4.198653901332787,4.380781062901712
