,Number,Date,Temperature Max
0,1,2100-01-01,2.4975219726562727
1,2,2100-01-02,3.3385559082031477
2,3,2100-01-03,15.097283935546898
3,4,2100-01-04,11.079888916015648
4,5,2100-01-05,1.2101074218750227
5,6,2100-01-06,9.665155029296898
6,7,2100-01-07,5.404199218750023
7,8,2100-01-08,2.7478271484375227
8,9,2100-01-09,12.946923828125023
9,10,2100-01-10,9.501702880859398
10,11,2100-01-11,4.738488769531273
11,12,2100-01-12,18.520745849609398
12,13,2100-01-13,18.772821044921898
13,14,2100-01-14,13.707208251953148
14,15,2100-01-15,6.879724121093773
15,16,2100-01-16,4.186975097656273
16,17,2100-01-17,1.4807678222656477
17,18,2100-01-18,4.135125732421898
18,19,2100-01-19,4.658380126953148
19,20,2100-01-20,9.241021728515648
20,21,2100-01-21,19.182519531250023
21,22,2100-01-22,23.415277099609398
22,23,2100-01-23,22.375726318359398
23,24,2100-01-24,17.955194091796898
24,25,2100-01-25,9.865563964843773
25,26,2100-01-26,8.629754638671898
26,27,2100-01-27,8.949884033203148
27,28,2100-01-28,11.396752929687523
28,29,2100-01-29,11.501611328125023
29,30,2100-01-30,6.669824218750023
30,31,2100-01-31,6.205316162109398
31,32,2100-02-01,3.7441345214843977
32,33,2100-02-02,12.213861083984398
33,34,2100-02-03,14.325036621093773
34,35,2100-02-04,17.851251220703148
35,36,2100-02-05,19.929223632812523
36,37,2100-02-06,20.999810791015648
37,38,2100-02-07,20.059838867187523
38,39,2100-02-08,20.212823486328148
39,40,2100-02-09,21.318078613281273
40,41,2100-02-10,14.408105468750023
41,42,2100-02-11,14.562707519531273
42,43,2100-02-12,12.865594482421898
43,44,2100-02-13,21.863885498046898
44,45,2100-02-14,20.301293945312523
45,46,2100-02-15,5.234185791015648
46,47,2100-02-16,10.174645996093773
47,48,2100-02-17,14.973382568359398
48,49,2100-02-18,12.475488281250023
49,50,2100-02-19,8.169030761718773
50,51,2100-02-20,14.445825195312523
51,52,2100-02-21,14.189569091796898
52,53,2100-02-22,2.9348693847656477
53,54,2100-02-23,4.779382324218773
54,55,2100-02-24,11.827874755859398
55,56,2100-02-25,18.964013671875023
56,57,2100-02-26,19.726098632812523
57,58,2100-02-27,16.372521972656273
58,59,2100-02-28,9.803430175781273
59,60,2100-03-01,15.048883056640648
60,61,2100-03-02,19.435998535156273
61,62,2100-03-03,17.086022949218773
62,63,2100-03-04,20.302331542968773
63,64,2100-03-05,22.534204101562523
64,65,2100-03-06,24.519372558593773
65,66,2100-03-07,23.702569580078148
